max_track,max_value,min_track,min_value,max_link,min_link,max_artwork,min_artwork
Potion Seller - Seizure,9890.0,Without You - Sjors Mans,210.0,https://open.spotify.com/track/5b6v9hQdCD8oEGRDCov98e,https://open.spotify.com/track/1nK5YlcoE5MKiO0qjV6xKX,https://i.scdn.co/image/ab67616d0000b2739ef8a8f487dd5c04d67aa255,https://i.scdn.co/image/ab67616d0000b273bde59fca9d4a6d323a048786
Walkie Talkie Man - Steriogram,-21120.0,Without You - Sjors Mans,-313940.0,https://open.spotify.com/track/0iCrjwLMTjWsdOKdOAZ0FC,https://open.spotify.com/track/1nK5YlcoE5MKiO0qjV6xKX,https://i.scdn.co/image/ab67616d0000b273de6097ba29c3bb799f736d22,https://i.scdn.co/image/ab67616d0000b273bde59fca9d4a6d323a048786
Walkie Talkie Man - Steriogram,-2.11,Without You - Sjors Mans,-31.39,https://open.spotify.com/track/0iCrjwLMTjWsdOKdOAZ0FC,https://open.spotify.com/track/1nK5YlcoE5MKiO0qjV6xKX,https://i.scdn.co/image/ab67616d0000b273de6097ba29c3bb799f736d22,https://i.scdn.co/image/ab67616d0000b273bde59fca9d4a6d323a048786
French Stewart - Episode One,9200.0,Futilist's Lament - High Tide,1440.0,https://open.spotify.com/track/4G4fPtShLzroeczE58sGva,https://open.spotify.com/track/6Y2FHIctlvmkQtD8Xiden9,https://i.scdn.co/image/ab67616d0000b27391b1af4128cdea0b4a81de1e,https://i.scdn.co/image/ab67616d0000b2738b61a4f7fd95cde4fd4b57c1
Riff Off: Mickey/Like A Virgin/Hit Me With Your Best Shot/S&M/Let’s Talk About Sex/I’ll Make Love To You/Feels Like The First Time/No Diggity - The Barden Bellas,4040.0,Way to Say Goodbye - Aoife Nessa Frances,248.0,https://open.spotify.com/track/0phwM5a6TdLBDl0F9bk5fl,https://open.spotify.com/track/5gOe8AesHfwTttmoq3Zhuy,https://i.scdn.co/image/ab67616d0000b2730841a28ca69a34d2a45e58ed,https://i.scdn.co/image/ab67616d0000b273b741be63ed65c0f45eef7ebb
Without You - Sjors Mans,9900.0,N.W.O. - Ministry,0.0,https://open.spotify.com/track/1nK5YlcoE5MKiO0qjV6xKX,https://open.spotify.com/track/2D9LxUcR9zWxQtxiHsMA0n,https://i.scdn.co/image/ab67616d0000b273bde59fca9d4a6d323a048786,https://i.scdn.co/image/ab67616d0000b27390edd2885a4865e0a4bf6f3c
spin - Blue Smiley,9720.0,Walkie Talkie Man - Steriogram,0.0,https://open.spotify.com/track/6COAPjdlj4qqb0dDFDV7EM,https://open.spotify.com/track/0iCrjwLMTjWsdOKdOAZ0FC,https://i.scdn.co/image/ab67616d0000b2732887a4bd54b2987fa656af98,https://i.scdn.co/image/ab67616d0000b273de6097ba29c3bb799f736d22
Brain Damage - The Austin Lounge Lizards,8990.0,Just Like Me - Amber Arcades,422.0,https://open.spotify.com/track/2dcZFrC8XkdxhVxmb8p2kO,https://open.spotify.com/track/6wFq01ZyreydHfP8OWGNbs,https://i.scdn.co/image/ab67616d0000b2734af7e8495329e311af1f2c06,https://i.scdn.co/image/ab67616d0000b273b137c36a00be704e5e00bb8a
"Rock and Roll, Hoochie Koo - Rick Derringer",199.0,Glacier House - Burn Mona Lisa,74.0,https://open.spotify.com/track/4VDHlRakaVHzHE8PUdcU49,https://open.spotify.com/track/48GGqJ4VLaHyZbwoPtPQr8,https://i.scdn.co/image/ab67616d0000b2739d67c642d1f3c566e4b8f033,https://i.scdn.co/image/ab67616d0000b2731b9ad4521bd0a66fd9113353
